2026-09-21 14:46:27,104 - Model=LightGBM | Resp=oks | Time=9.50s
2026-09-21 14:46:28,180 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.08s
2026-09-21 14:46:30,359 - Model=SVR | Resp=oks | Time=2.18s
2026-09-21 14:46:52,069 - Model=XGBoost | Resp=oks | Time=21.71s
2026-09-21 14:47:15,957 - Model=CatBoost | Resp=oks | Time=23.89s
2026-09-21 14:47:25,851 - Model=LightGBM | Resp=oks | Time=9.89s
2026-09-21 14:47:26,999 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.15s
2026-09-21 14:47:29,191 - Model=SVR | Resp=oks | Time=2.19s
2026-09-21 14:47:54,038 - Model=XGBoost | Resp=oks | Time=24.85s
2026-09-21 14:48:18,957 - Model=CatBoost | Resp=oks | Time=24.92s
2026-09-21 14:48:29,003 - Model=LightGBM | Resp=oks | Time=10.05s
2026-09-21 14:48:30,220 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.22s
2026-09-21 14:48:32,389 - Model=SVR | Resp=oks | Time=2.17s
2026-09-21 14:48:56,719 - Model=XGBoost | Resp=oks | Time=24.33s
2026-09-21 14:49:21,460 - Model=CatBoost | Resp=oks | Time=24.74s
2026-09-21 14:49:32,576 - Model=LightGBM | Resp=oks | Time=11.12s
2026-09-21 14:49:33,815 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.24s
2026-09-21 14:49:35,980 - Model=SVR | Resp=oks | Time=2.16s
2026-09-21 14:49:58,281 - Model=XGBoost | Resp=oks | Time=22.30s
2026-09-21 14:50:23,044 - Model=CatBoost | Resp=oks | Time=24.76s
2026-09-21 14:50:33,753 - Model=LightGBM | Resp=oks | Time=10.71s
2026-09-21 14:50:34,902 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.15s
2026-09-21 14:50:37,092 - Model=SVR | Resp=oks | Time=2.19s
2026-09-21 14:51:01,627 - Model=XGBoost | Resp=oks | Time=24.53s
2026-09-21 14:51:26,846 - Model=CatBoost | Resp=oks | Time=25.22s
